 - 774
apheidas - 1
apiece - 1
apollo - 27
apollofor - 1
apollos - 2
apology - 2
appalling - 1
apparently - 3
appeal - 1
appear - 4
appearance - 5
appeared - 27
appears - 4
appease - 1
appeased - 1
appendix - 4
applaud - 2
applauded - 5
apple - 3
apples - 2
applied - 1
appointed - 1
apprehend - 1
approach - 5
approaching - 2
appropriate - 1
appropriated - 1
appropriation - 1
approved - 7
apt - 1
aptitude - 1
arceisius - 4
arceisiusbest - 1
arched - 1
archer - 6
archers - 1
arches - 3
are - 596
aregreek - 1
arete - 13
arethey - 1
arethusa - 1
aretias - 2
aretus - 2
argive - 4
argives - 21
argo - 1
argos - 20
argoshe - 1
argue - 2
argued - 1
argues - 1
argument - 1
arguments - 1
argus - 1
ariadne - 1
aright - 2
arise - 1
arisen - 1
arm - 3
armed - 5
armour - 33
armourulysses - 1
arms - 26
arnaeus - 1
around - 10
arranged - 2
arrangement - 3
array - 1
arrayed - 1
arrival - 1
arrived - 2
arrivethe - 1
arrow - 21
arrows - 16
arrowsthings - 1
art - 5
artacia - 1
artful - 1
artisans - 1
arts - 2
arybas - 1
as - 1301
ascends - 1
ashamed - 10
ashen - 1
ashes - 8
ashore - 6
ashwood - 1
asia - 1
aside - 6
asinelli - 3
ask - 53
asked - 26
asking - 10
askingi - 1
asks - 4
aslant - 1
asleep - 12
asopus - 1
aspen - 1
asphalion - 1
asphodel - 3
assembled - 2
assemblies - 2
assembly - 24
assented - 7
asserting - 1
assign - 1
assigning - 1
assistance - 3
assumed - 4
assuming - 1
assure - 1
assured - 2
assuredly - 2
assures - 1
asteria - 1
asteris - 1
astonish - 1
astonished - 7
astonishment - 2
astounded - 3
astride - 3
asunder - 2
at - 587
ate - 10
athenaeum - 1
athene - 1
athens - 5
athlete - 1
athletes - 2
athletic - 3
atlantic - 1
atlas - 4
atmosphere - 1
atreus - 18
atrociously - 1
attach - 1
attached - 1
attack - 7
attacked - 2
attacking - 2
attacks - 2
attempt - 5
attempting - 1
attend - 10
attendance - 2
attendant - 1
attendants - 1
attended - 5
attending - 1
attention - 8
attract - 1
attribute - 1
audience - 2
auger - 1
augers - 1
aught - 1
august - 1
aurora - 1
austrian - 1
author - 3
authoress - 36
authoresss - 1
authorities - 1
authority - 3
autolycus - 14
autolycuswho - 1
autonoe - 1
autumn - 3
avail - 1
avalanches - 1
avenge - 8
avenged - 3
avenger - 1
avengers - 1
avenging - 2
average - 1
avoid - 1
avoided - 3
avoiding - 1
await - 2
awaiting - 2
awaits - 2
awake - 3
aware - 1
away - 141
awed - 1
awful - 3
awhile - 1
awoke - 3
axe - 7
axes - 10
b - 1
babble - 2
baby - 2
bacchus - 2
bachelor - 1
bachelors - 2
back - 202
backed - 1
backs - 1
backstay - 1
backwards - 4
bad - 38
bade - 22
badly - 5
baffle - 1
baggage - 2
bags - 3
bait - 1
ball - 6
band - 2
bands - 2
bandying - 1
bane - 2
banish - 1
banishes - 1
bank - 1
banquet - 16
banqueting - 1
banquetingcloister - 1
banquets - 2
barbarous - 1
barbed - 1
bard - 24
bards - 2
bardwhile - 1
bare - 2
bargain - 4
bargaining - 1
baring - 1
bark - 3
barking - 2
barley - 18
barleymeal - 1
barren - 5
barrow - 5
bartholomew - 1
base - 3
baser - 1
basin - 6
bask - 1
basket - 4
baskets - 3
bat - 1
bath - 12
bathed - 1
baths - 3
bathwoman - 1
bats - 1
batten - 1
battered - 2
battle - 12
battledore - 1
battlei - 1
battlements - 1
battleyou - 1
bay - 1
baying - 1
bc - 1
bcthat - 1
be - 554
beach - 13
beached - 2
beads - 2
beak - 1
beaks - 1
beam - 7
beams - 1
bear - 23
beard - 4
bearing - 3
bearingpost - 8
bearingposts - 9
bears - 4
bearwhich - 1
beast - 4
beasts - 2
beat - 13
beaten - 2
beating - 2
beats - 2
beauties - 1
beautified - 1
beautiful - 26
beautifully - 9
beauty - 18
beautyenriches - 1
beautys - 1
becalmed - 1
became - 14
because - 43
beck - 1
beckoned - 1
become - 19
becomes - 5
bed - 83
bedded - 1
bedding - 3
bedposts - 1
bedprop - 1
bedroom - 4
beds - 6
bedside - 1
bedsteads - 1
beech - 1
beechmast - 1
been - 319
bees - 1
befall - 1
befallen - 2
befell - 1
befor - 2
before - 161
beforehand - 1
befriended - 1
beg - 12
began - 85
beggar - 13
beggarly - 1
beggars - 6
begged - 6
begging - 15
begin - 15
beginning - 19
beginnings - 1
begins - 7
begotten - 2
begrimed - 4
begs - 1
beguile - 1
beguiling - 1
begun - 2
behalf - 2
behave - 2
behaved - 1
behaving - 5
behaviour - 1
beheld - 4
behests - 1
behind - 45
behold - 3
beif - 2
being - 84
belief - 3
believe - 18
believed - 1
believes - 1
bellied - 1
bellies - 2
bellowing - 1
belly - 11
belong - 1
belonged - 1
belonging - 3
belongs - 1
beloved - 1
below - 2
belt - 2
benches - 12
bend - 2
bending - 2
bene - 1
beneath - 10
benedictine - 1
bent - 7
bereft - 2
beseech - 5
beside - 21
besides - 10
besmirched - 2
besought - 4
bespatter - 1
bespattered - 2
best - 82
bestir - 1
bestno - 1
bethat - 3
bethought - 8
betray - 1
betrayed - 1
better - 76
betterlooking - 1
betters - 2
bettersso - 1
between - 45
bevy - 1
bewail - 1
bewailing - 1
beware - 1
bewhen - 1
bewitched - 1
beyond - 16
biaggini - 1
biagio - 1
bid - 14
bidden - 4
bidding - 3
bids - 1
big - 3
billet - 1
bind - 7
binding - 1
bird - 7
birds - 11
birth - 6
bit - 6
bitch - 1
bitter - 7
bitterest - 1
bitterly - 17
bk - 15
bks - 3
black - 17
blacksmith - 1
blade - 4
blame - 7
blameless - 1
blandishment - 1
blank - 5
blankets - 5
blaze - 2
blazing - 1
bleached - 1
bleak - 1
blear - 1
bleared - 1
bleating - 3
bleeding - 3
bleeds - 1
bless - 6
blessed - 21
blessing - 1
blest - 2
blew - 7
blighting - 1
blind - 5
blinded - 4
blindness - 2
bliss - 3
blood - 45
bloodlessly - 1
bloodshed - 1
bloody - 1
bloom - 2
bloomsbury - 1
blossom - 1
blossoms - 2
blotted - 1
blow - 14
blowing - 4
blows - 3
blubbering - 1
blue - 7
blueeyed - 1
bluster - 2
boar - 14
board - 53
boarhounds - 1
boars - 7
boast - 1
boasted - 1
boasting - 1
boat - 2
boatmen - 1
boats - 1
bodies - 6
body - 35
boethous - 1
boil - 1
boiling - 3
bold - 3
bolder - 1
boldly - 2
boldness - 3
bolt - 3
bolted - 1
bolting - 1
bolts - 2
bond - 4
bondage - 1
bondman - 1
bonds - 4
bondsman - 1
bondsmen - 3
bondsmenfor - 1
bondwoman - 1
bone - 2
bones - 22
book - 70
books - 13
boon - 4
boot - 1
bootes - 1
bootso - 1
booty - 1
bore - 21
bored - 2
boring - 1
born - 20
borne - 11
borrowed - 1
borrowing - 5
bosom - 3
both - 147
bottom - 9
bough - 1
boughs - 2
bought - 2
bound - 32
bounded - 1
bounteous - 2
bounty - 1
bout - 1
bow - 61
bowed - 1
bowels - 1
bowfancier - 1
bowing - 1
bowl - 17
bowls - 6
bownor - 1
bows - 4
bowshot - 1
box - 3
boxer - 2
boxers - 1
boxing - 1
boy - 6
boyhood - 2
braces - 1
bracketed - 2
brackets - 8
brag - 1
braggart - 1
bragging - 1
brains - 6
brambles - 1
branch - 1
branches - 1
brand - 1
brandishing - 1
brass - 2
brave - 34
bravely - 1
bravest - 6
brawling - 1
brawny - 4
braziers - 3
braziersulysses - 1
bread - 38
breadbasket - 3
breadbaskets - 1
breadth - 1
break - 20
breaker - 1
breakers - 1
breakfast - 3
breaking - 5
breaks - 2
breast - 7
breath - 8
breathe - 1
breathed - 1
breathes - 1
breathing - 1
bred - 5
breed - 2
breeder - 1
breeding - 9
breeds - 3
breeze - 2
breezy - 1
brewing - 2
bribes - 1
bridal - 1
bride - 3
bridegroom - 1
brides - 1
briefly - 2
bright - 2
brilliant - 2
brim - 1
brimstone - 2
brine - 5
bring - 72
bringer - 1
bringing - 17
brings - 4
briskly - 1
bristles - 3
british - 2
broad - 5
broadbrowed - 1
broke - 16
broken - 7
brokenhearted - 2
bronze - 26
bronzeshod - 4
brooch - 3
brood - 2
brooded - 3
brooding - 6
brother - 11
brothers - 9
brotherscomely - 1
brothersfor - 1
brought - 112
brow - 1
bruised - 1
bruises - 1
brunt - 1
brushwood - 3
brute - 1
bubbled - 1
bubbling - 1
bucket - 1
buckets - 1
budge - 1
buffeted - 2
build - 6
building - 2
buildings - 4
built - 20
bull - 5
bullocks - 3
bulls - 5
bully - 1
bungled - 1
burden - 6
burdened - 1
burial - 1
buried - 5
burn - 3
burned - 7
burning - 8
burnt - 9
burst - 3
bursting - 2
bury - 6
bush - 1
bushes - 1
busied - 2
busily - 1
business - 11
bustled - 1
bustling - 2
busy - 7
but - 863
butcher - 4
butchered - 1
butchering - 2
butler - 5
butlers - 2
buttmann - 2
buy - 1
by - 547
byblus - 1
bye - 2
c - 2
cable - 5
cables - 3
cadmus - 1
cairn - 2
cajoled - 2
calamities - 1
calf - 1
call - 29
called - 52
calling - 1
calls - 1
calm - 4
calves - 2
calypso - 34
calypsos - 1
calypsoulysses - 1
cambridge - 2
came - 211
camp - 4
camped - 6
camping - 1
can - 256
cannot - 82
cap - 1
capable - 1
cape - 2
capitals - 3
captain - 5
captainor - 1
captains - 2
captive - 1
captives - 1
capturing - 1
carcases - 1
carcass - 1
carcasses - 2
carding - 1
care - 37
cared - 2
careful - 4
carefully - 5
carelessly - 1
cares - 1
caressed - 2
cargo - 2
cargoes - 1
caring - 2
carpenter - 3
carpenters - 1
carpet - 1
carping - 1
carried - 33
carries - 4
carry - 21
carrying - 11
carve - 2
carved - 1
carver - 3
carvers - 1
carys - 1
case - 22
casehardened - 1
cases - 1
casks - 2
cassandra - 1
cast - 7
castor - 2
catalogue - 1
catch - 8
catches - 2
catching - 2
cattle - 32
cattlelifting - 2
cauconians - 1
caught - 31
caughtnot - 1
cauldron - 6
cauldrons - 4
cause - 9
caused - 1
cav - 1
cavalca - 1
cavaliere - 1
cave - 44
cavern - 4
caves - 4
caveso - 1
cavethis - 1
cease - 10
ceased - 2
ceasing - 3
cedar - 2
ceiling - 1
celebrate - 3
celebrated - 2
cell - 1
centaur - 1
centaurs - 1
centrale - 1
centrepiece - 1
centrepost - 1
centuries - 1
century - 1
cephallenians - 4
cerebration - 2
ceres - 1
certain - 16
certainly - 6
certainty - 2
certify - 1
ceteians - 1
cf - 18
chafes - 1
chaff - 1
chain - 1
chains - 7
chainsand - 1
chair - 1
chalcis - 1
chalice - 1
challenge - 3
challenged - 1
chamber - 4
chamois - 1
champing - 1
champion - 1
chance - 8
change - 9
changed - 11
changes - 1
changing - 3
channel - 1
channels - 1
character - 2
charge - 12
charged - 2
charging - 1
chariot - 18
charioteer - 1
chariots - 4
charlatan - 1
charm - 4
charmed - 6
charming - 1
charms - 1
charring - 1
charybdis - 15
chased - 1
chasing - 1
chastise - 1
chattels - 2
chattering - 2
chaunted - 1
cheap - 1
cheaper - 1
check - 5
checked - 6
checking - 1
cheek - 2
cheeks - 8
cheekseven - 1
cheered - 2
cheerfulness - 1
cheeringly - 1
cheese - 3
cheeseracks - 1
cheeses - 3
cherished - 1
chest - 13
chests - 2
chew - 1
chickens - 1
chide - 2
chided - 2
chief - 28
chiefs - 8
chieftain - 3
chieftains - 2
child - 47
children - 30
chill - 1
chimneys - 1
chin - 2
chios - 2
chivalry - 1
chloris - 1
choice - 4
choicest - 1
choose - 12
chooses - 3
choosing - 1
chop - 1
chopped - 1
chopping - 3
chose - 7
chosen - 4
christianised - 1
chromius - 1
chrysostom - 1
chuckle - 1
church - 1
cicons - 8
cimmerians - 1
circe - 36
circes - 10
circle - 1
circled - 1
circumnavigation - 1
circumstances - 1
cisterns - 1
citadel - 2
cities - 7
citieswho - 1
citizens - 3
city - 73
clad - 4
claim - 3
claiming - 2
clamorous - 2
clamoured - 1
clansmen - 1
clapped - 2
clapping - 1
clashed - 1
clasp - 3
clasped - 3
classesthe - 1
clattered - 1
claws - 1
clean - 29
cleaned - 1
cleaning - 1
cleanse - 1
cleansed - 2
cleanses - 1
clear - 20
cleitus - 2
clever - 3
cliff - 1
cliffs - 2
climax - 1
climb - 3
climbed - 3
climbing - 1
cling - 1
cloak - 44
cloaks - 15
clock - 1
cloister - 41
cloisters - 22
close - 54
closed - 11
closely - 4
closer - 1
cloth - 2
clothe - 1
clothed - 2
clothes - 44
clothesa - 1
clothing - 4
cloud - 8
clouded - 3
clouds - 10
clouts - 1
club - 3
clubbed - 1
clung - 3
cluster - 1
clutch - 1
clutched - 1
clymene - 1
clymenus - 1
clytemnestra - 3
clytemnestras - 1
clytius - 2
clytoneus - 2
cnossus - 1
coast - 13
coastand - 1
coasts - 1
coated - 1
cobwebs - 2
cocytus - 1
coherent - 1
coincidence - 2
coined - 3
coins - 1
cold - 12
colder - 1
collect - 1
college - 1
colonisations - 1
colonised - 1
colonising - 1
colossal - 1
colour - 4
coloured - 1
colours - 1
columns - 1
combat - 2
come - 287
comefor - 1
comeliness - 2
comely - 6
comes - 44
comfort - 4
comfortable - 6
comfortably - 4
comforted - 1
comfortingly - 1
coming - 43
comings - 1
comma - 1
command - 3
commanded - 1
commanding - 1
commands - 1
commend - 1
commentator - 1
commerce - 1
commission - 1
committed - 1
common - 8
commonly - 1
communities - 2
companies - 1
companions - 11
companionship - 1
company - 9
comparable - 1
compare - 7
compared - 1
comparison - 2
compass - 3
compassion - 4
compatriots - 1
compel - 1
compelled - 1
compels - 1
compete - 3
competed - 1
competitions - 1
competitors - 1
complain - 8
complaining - 1
complaints - 2
completed - 11
completely - 1
completeness - 2
complexion - 1
compose - 1
compunction - 1
comrade - 4
comradefor - 1
comrades - 23
conceal - 2
concealed - 3
concealment - 3
conceivable - 1
conceived - 2
concern - 1
concerning - 2
conclude - 1
concludes - 1
conclusion - 1
conclusions - 1
conclusive - 1
concubine - 1
conditioned - 1
conduct - 6
conducted - 4
confederates - 1
conference - 1
conferred - 2
confidence - 2
confident - 1
confidently - 1
confine - 1
confirm - 2
confound - 1
confounded - 1
congratulate - 3
conjecture - 1
connected - 1
connection - 1
consciences - 1
consciencestricken - 1
consent - 3
consequence - 3
conservatism - 1
consider - 11
considerable - 4
consideration - 2
considerationcould - 1
considered - 4
considering - 2
consisting - 1
consists - 2
constancy - 1
constantly - 2
construction - 1
construe - 1
consult - 7
consulted - 1
consume - 1
consuming - 1
consummate - 1
contain - 1
contained - 1
containing - 1
contains - 2
contemptuously - 2
contend - 2
contended - 2
contending - 2
content - 4
contented - 1
contentions - 2
contents - 1
contest - 9
contests - 1
context - 1
contiguous - 1
continent - 3
continual - 3
continually - 6
continue - 6
continued - 4
continues - 2
continuing - 1
contrary - 2
contrast - 1
contribute - 1
contrive - 3
convene - 1
convened - 2
convenience - 1
convenient - 1
conversation - 6
conversations - 1
converse - 16
conversing - 1
conveyed - 3
conviction - 2
convince - 2
convinced - 1
convincing - 2
convoyed - 1
convulsively - 2
cook - 7
cooked - 10
cooking - 8
cool - 1
copies - 3
copper - 3
coppers - 1
copy - 1
cord - 2
cordial - 1
cormorant - 1
corn - 10
corner - 4
corners - 1
cornice - 1
corpse - 1
corpses - 5
correct - 3
correctedno - 1
correcting - 1
corrections - 1
correctly - 1
corresponding - 2
corrupt - 1
corruption - 2
corvi - 2
cost - 5
costs - 1
couch - 10
could - 220
couldthat - 1
council - 11
councillors - 9
councilminervas - 1
councils - 2
counsel - 15
counselled - 5
counsellor - 3
counsels - 7
count - 2
counted - 3
counting - 2
countless - 2
countries - 5
country - 109
countryfarm - 1
countrymen - 2
couple - 9
courage - 11
course - 29
coursefor - 1
courses - 4
court - 58
courting - 4
courts - 5
courtyard - 5
covenant - 2
cover - 11
covered - 33
covering - 4
coverings - 1
coverlets - 4
covers - 1
covert - 1
cow - 1
coward - 2
cowards - 2
cower - 1
cows - 9
coxswain - 1
cozzo - 1
craft - 2
craftily - 1
crafty - 3
crag - 1
crataiis - 1
craving - 1
cravings - 1
crawled - 1
crazed - 1
creature - 12
creatures - 5
credit - 2
creditable - 2
creon - 1
crept - 3
crest - 3
cretan - 2
cretans - 3
crete - 12
cretheus - 2
crew - 43
crews - 4
cried - 29
criers - 1
cries - 2
crime - 2
crimes - 1
crimson - 2
cripplebut - 1
cronides - 1
crooked - 1
crooktaloned - 1
crop - 1
cross - 12
crossbeams - 1
crossed - 8
crossgartered - 1
crosspiece - 2
crouched - 1
crouching - 2
crouni - 1
crowd - 6
crowded - 2
crowds - 2
crown - 1
crowned - 1
crowning - 2
crows - 1
cruel - 17
crunch - 1
crunching - 1
cruse - 2
crushed - 2
cry - 14
crying - 19
ctesippus - 4
ctesius - 1
ctimene - 2
cubit - 2
cubits - 1
cudgel - 1
cunning - 18
cunningly - 2
cup - 22
cupbearer - 5
cups - 10
cur - 1
curbing - 1
curdled - 1
cure - 1
curiosity - 1
curious - 3
curls - 2
curly - 1
currency - 1
current - 3
currents - 3
curved - 1
curvetted - 1
custom - 1
customary - 1
customs - 1
cusumano - 1
cusumanothe - 1
cut - 41
cuts - 2
cutting - 4
cyclopes - 18
cyclops - 18
cydonians - 1
cyllene - 1
cypress - 1
cypresswood - 1
cypria - 1
cyprus - 5
cythera - 1
dactylic - 1
dactylism - 1
daily - 3
dainty - 1
dairy - 1
dam - 1
damage - 1
damaged - 1
damages - 3
damask - 1
damastor - 3
damp - 1
damsel - 1
danaans - 10
dance - 8
danced - 1
dancers - 5
dances - 1
dancing - 9
danger - 8
dangereven - 1
dangerous - 3
dangerously - 1
dangling - 1
dardanelles - 1
dare - 9
dares - 1
daring - 2
dark - 29
darkness - 20
darling - 3
dart - 2
darted - 2
darts - 1
dash - 3
dashed - 4
date - 2
daughter - 87
daughters - 14
david - 1
dawdle - 1
dawn - 31
day - 135
daybreak - 10
dayguests - 1
daylight - 2
days - 54
dazzling - 1
dead - 77
deadly - 5
deafening - 1
deal - 19
dealing - 3
deals - 1
dealt - 6
dear - 56
dearer - 1
dearest - 1
dearly - 3
dears - 2
dearth - 1
death - 67
deathlike - 1
deaths - 2
deathwho - 1
debt - 1
debts - 1
deceit - 1
deceive - 6
deceiving - 2
december - 1
decency - 1
decently - 1
decide - 2
decided - 1
decides - 1
decision - 1
deck - 6
declare - 3
declared - 2
declaredi - 1
declares - 2
decorated - 5
decreed - 4
dedicated - 1
deed - 11
deeds - 10
deemed - 12
deems - 1
deep - 23
deeply - 1
deer - 4
defence - 4
defend - 1
defended - 1
defer - 1
deficient - 1
defiled - 1
defying - 1
dei - 2
deiphobus - 2
deities - 1
del - 1
delay - 2
delayed - 2
delectable - 3
deliberately - 1
delicate - 3
delicious - 3
delight - 3
delighted - 9
delightful - 2
deliver - 2
delivered - 2
dell - 3
delos - 1
demodocus - 14
demodocuss - 2
demonstrably - 2
demoptolemus - 2
den - 1
denied - 1
dense - 2
depart - 4
departed - 4
departing - 1
depends - 1
depreciate - 1
deprived - 2
depth - 1
depths - 1
derived - 1
descend - 3
descendant - 1
descendants - 1
descended - 2
descent - 2
described - 6
describing - 1
desert - 3
deserve - 2
design - 1
desire - 13
desired - 4
desirehusband - 1
desires - 1
desolate - 1
despair - 3
despairing - 1
despairingly - 2
despatch - 1
desperately - 1
despite - 1
destiny - 1
destroy - 1
destroyed - 2
destruction - 18
destructioncome - 1
detail - 1
detain - 1
detained - 3
detaining - 2
determine - 2
determined - 4
determines - 1
detest - 3
detested - 1
deucalion - 2
developed - 1
development - 1
device - 1
devices - 2
devil - 2
devised - 1
devoted - 2
devour - 3
devoured - 1
devouring - 3
dew - 1
di - 2
dia - 1
diadem - 1
diana - 14
dianathe - 1
dictionary - 1
did - 276
didyme - 1
die - 24
died - 10
diffali - 1
difference - 2
different - 10
differently - 1
difficult - 2
difficulties - 4
difficulty - 11
diffidence - 1
dig - 1
digging - 2
dim - 1
dine - 4
dinectesippus - 1
dined - 1
dining - 3
dinner - 45
dinnerfor - 1
dinners - 4
diocles - 3
diomed - 2
diplomacy - 1
dipping - 1
dire - 1
direct - 4
directed - 2
direction - 5
directions - 2
directly - 7
dirge - 1
dirt - 3
dirty - 6
disappear - 1
disappears - 2
disaster - 3
disc - 4
discernment - 1
discharge - 1
discomfits - 1
discouragement - 1
discourse - 1
discover - 1
discovered - 1
discovery - 1
discreditable - 1
discreet - 1
discretion - 2
discs - 2
discthrowing - 1
discuss - 1
discusses - 1
disfigure - 1
disgrace - 8
disgraced - 2
disgraceful - 4
disgracefully - 1
disguise - 2
disguised - 7
disguising - 1
disgust - 1
dish - 1
dishonour - 1
dishonouring - 4
dislike - 2
disloyal - 1
dismay - 7
dismayed - 4
dismissed - 1
disobey - 1
disobeyed - 2
disorder - 1
disparaging - 1
dispensation - 1
dispersed - 4
displayed - 1
displease - 1
displeased - 9
displeasure - 3
disport - 1
disposed - 11
disposition - 5
dispute - 1
disputes - 1
disreputable - 1
disrespect - 1
disrespectful - 1
disrespectfully - 1
dissipated - 1
dissuade - 1
distaff - 5
distance - 6
distant - 9
distasteful - 1
distinct - 1
distinction - 2
distinguished - 2
distress - 18
distressed - 3
distresses - 1
distressing - 2
disturb - 1
disturbance - 2
disturbed - 2
dived - 4
diverted - 2
divide - 4
divided - 8
dividing - 1
divine - 9
divined - 1
divinely - 1
diving - 1
dmetor - 1
do - 394
dodona - 2
does - 48
dog - 6
dogfish - 1
dogs - 19
doi - 1
doing - 36
doings - 1
dolius - 13
doliuss - 1
dolphins - 1
domed - 4
donald - 1
donatellos - 1
done - 80
donkeys - 1
donors - 1
dont - 1
doom - 5
doomed - 6
door - 44
doorfor - 1
doors - 23
doorway - 10
dorian - 1
dorians - 1
doric - 1
doto - 1
double - 13
doubled - 1
doubling - 1
doubt - 14
doubted - 8
doubtful - 1
doubtfulcf - 1
doubtless - 5
doughty - 3
dove - 2
doves - 3
dowered - 1
down - 214
downstairs - 1
dowry - 1
dozen - 8
dr - 1
drag - 1
dragged - 6
dragging - 2
dragoman - 1
dragon - 1
drain - 1
drank - 10
draughts - 1
draw - 23
drawing - 5
drawn - 11
draws - 3
dread - 4
dreadful - 7
dreadfully - 1
dream - 13
dreamed - 1
dreamland - 1
dreams - 5
drenching - 1
drepanum - 1
dress - 9
dressed - 12
dresser - 1
dresses - 1
drew - 43
dried - 2
drift - 2
drifted - 4
drink - 72
drinking - 12
drinkoffering - 13
drinkofferings - 11
drinks - 2
drip - 1
drive - 22
driven - 11
driving - 12
drop - 8
dropped - 10
drops - 1
drove - 23
droves - 1
drown - 1
drowned - 4
drowning - 1
drowsiness - 1
drubbing - 1
drug - 5
drugged - 5
drugs - 1
drunk - 16
drunkard - 1
drunken - 1
drunkenness - 2
dry - 8
drying - 2
dryrotted - 1
dubious - 2
ducts - 2
due - 27
dues - 1
dug - 4
dulichium - 10
dull - 1
duly - 2
dumb - 1
dun - 1
dung - 2
during - 22
dusky - 1
dust - 10
duties - 3
duty - 5
dwell - 9
dwellers - 1
dwelling - 1
dwells - 4
dwelt - 1
dying - 7
dymass - 1
e - 1
each - 82
eager - 4
eagerly - 1
eagerness - 1
eagle - 9
eaglebeaked - 1
eagles - 2
ear - 6
earlier - 6
early - 12
earn - 2
earnest - 2
earnestly - 1
earrings - 1
ears - 11
earshot - 2
earth - 29
